A,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1126,20,10434,4,5,1955,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Fa,5,Typ,1,TA,Detchd,1977,Unf,2,672,Fa,Fa,Y,0,0,0,0,0,0,NA,NA,NA,0,11,2009,WD,Normal,115000
1127,120,3684,7,5,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,7,Typ,1,TA,Attchd,2007,Fin,3,660,TA,TA,Y,143,20,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,174000
1128,20,14572,7,5,2004,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,Gd,Attchd,2004,Fin,3,630,TA,TA,Y,144,36,0,0,0,0,NA,NA,NA,0,11,2007,WD,Family,259000
1129,60,11796,7,5,2004,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,8,Typ,1,Gd,BuiltIn,2004,Fin,2,434,TA,TA,Y,100,48,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,215000
1130,90,7200,5,5,1980,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,4,Typ,0,NA,Detchd,1980,Unf,2,672,TA,TA,Y,49,0,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,140000
1131,50,7804,4,3,1928,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,7,Min2,2,TA,Detchd,1981,Unf,2,576,TA,TA,Y,431,44,0,0,0,0,NA,MnPrv,NA,0,12,2009,WD,Normal,135000
1132,20,10712,5,5,1991,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,0,NA,NA,NA,NA,0,0,NA,NA,Y,0,28,0,0,0,0,NA,MnPrv,NA,0,9,2007,Oth,Abnorml,93500
1133,70,9900,6,4,1880,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,Fa,8,Typ,0,NA,Detchd,1930,Unf,1,205,Fa,TA,N,0,48,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,117500
1134,60,9828,8,5,1995,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,8,Typ,1,TA,Attchd,1995,RFn,2,466,TA,TA,Y,0,155,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,239500
1135,60,8773,6,5,1997,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,TA,Attchd,1997,Fin,2,460,TA,TA,Y,100,38,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,169000
1136,30,6180,6,5,1926,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,1,Gd,Detchd,1926,Unf,1,180,TA,TA,Y,0,128,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,102000
1137,50,9600,6,5,1950,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Attchd,1950,Unf,1,288,TA,TA,Y,0,0,96,0,0,0,NA,NA,NA,0,4,2008,WD,Abnorml,119000
1138,50,6342,5,8,1875,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,6,Typ,0,NA,NA,NA,NA,0,0,NA,NA,N,0,0,176,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,94000
1139,20,9819,6,5,1977,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,5,Typ,2,TA,Attchd,1977,RFn,2,714,TA,TA,Y,264,32,0,0,0,0,NA,NA,NA,0,5,2009,WD,Normal,196000
1140,30,8731,5,5,1920,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Maj1,1,Gd,Detchd,1972,Unf,2,495,TA,TA,Y,0,0,216,0,126,0,NA,NA,NA,0,5,2007,WD,Normal,144000
1141,20,7350,5,7,1951,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,4,Typ,0,NA,Detchd,1988,Unf,2,840,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2008,COD,Abnorml,139000
1142,60,10304,5,7,1976,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,9,Typ,1,TA,Attchd,1976,Unf,2,484,TA,TA,Y,448,96,0,0,0,0,NA,NA,NA,0,10,2009,WD,Normal,197500
1143,60,9965,8,5,2006,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,11,Typ,1,TA,BuiltIn,2006,RFn,3,1052,TA,TA,Y,125,144,0,0,0,0,NA,NA,NA,0,4,2007,New,Partial,424870
1144,20,9000,5,3,1959,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,0,NA,NA,NA,NA,0,0,NA,NA,Y,0,24,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,80000
1145,190,12180,4,4,1941,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Fa,5,Typ,0,NA,Detchd,1941,Unf,1,280,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,7,2010,WD,Normal,80000
1146,50,6240,5,6,1928,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,8,Typ,1,Gd,Detchd,1928,Unf,1,225,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2006,WD,Family,149000
1147,20,11200,6,5,1985,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,5,Typ,1,TA,Attchd,1985,Unf,2,403,TA,TA,Y,165,26,0,0,0,0,NA,NA,NA,0,5,2006,WD,Normal,180000
1148,70,12000,7,7,1941,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Fa,7,Typ,1,Gd,Attchd,1941,Unf,1,234,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,174500
1149,50,5700,7,7,1926,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,1,Gd,Detchd,1982,Unf,1,288,TA,TA,Y,0,0,176,0,0,0,NA,NA,NA,0,8,2008,WD,Normal,116900
1150,70,9000,7,9,1920,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,0,NA,Detchd,1930,Unf,2,324,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,143000
1151,20,8280,6,5,1950,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,4,Typ,1,Gd,Attchd,1950,Unf,1,306,TA,TA,Y,0,0,214,0,0,0,NA,GdPrv,NA,0,11,2007,WD,Normal,124000
1152,20,17755,5,4,1959,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Fa,6,Typ,2,Gd,Attchd,1959,Fin,2,528,TA,TA,Y,0,140,0,0,100,0,NA,NA,NA,0,11,2006,WD,Normal,149900
1153,20,14115,6,7,1956,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Ex,6,Typ,1,Gd,Attchd,1956,Fin,2,470,TA,TA,Y,0,0,280,0,0,0,NA,NA,NA,0,7,2006,WD,Abnorml,230000
1154,30,5890,6,8,1930,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,0,NA,Detchd,2002,Unf,1,432,TA,TA,Y,0,0,96,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,120500
1155,60,13700,7,6,1965,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,8,Typ,2,Gd,Attchd,1965,Unf,2,492,TA,TA,Y,60,84,0,0,273,0,NA,GdPrv,NA,0,5,2008,WD,Normal,201800
1156,20,10768,5,8,1976,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,1,Fa,Attchd,1976,RFn,2,528,TA,TA,Y,0,21,0,0,180,0,NA,NA,NA,0,7,2007,WD,Normal,218000
1157,80,9350,5,8,1965,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,1,Gd,Attchd,1965,RFn,2,502,TA,TA,Y,0,92,0,96,0,0,NA,MnPrv,NA,0,10,2008,WD,Normal,179900
1158,120,5001,7,5,2007,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,6,Typ,1,Gd,Attchd,2008,RFn,2,626,TA,TA,Y,172,62,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,230000
1159,20,11932,8,5,2007,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,0,NA,Attchd,2008,RFn,3,830,TA,TA,Y,0,24,0,0,0,0,NA,NA,NA,0,6,2008,ConLD,Partial,235128
1160,60,9120,6,6,1974,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,8,Typ,1,TA,Attchd,1974,RFn,2,540,Gd,TA,Y,0,69,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,185000
1161,160,2280,6,5,1978,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,TA,Attchd,1978,Unf,2,440,TA,TA,Y,26,0,0,0,0,0,NA,NA,NA,0,7,2010,WD,Normal,146000
1162,20,14778,6,7,1954,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,Gd,Detchd,1993,Unf,2,924,TA,TA,Y,108,0,0,216,0,0,NA,NA,NA,0,11,2008,WD,Normal,224000
1163,20,8724,5,5,1968,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,1,Po,Attchd,1968,Fin,2,450,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,129000
1164,90,12900,4,4,1969,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,TA,6,Typ,0,NA,CarPort,1969,Unf,2,400,Fa,TA,Y,120,0,0,0,0,0,NA,NA,NA,0,1,2008,WD,Alloca,108959
1165,80,16157,5,7,1978,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,5,Typ,1,TA,Attchd,1978,Unf,2,588,TA,TA,Y,168,180,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,194000
1166,20,9541,7,5,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,0,NA,Attchd,2009,RFn,2,644,TA,TA,Y,0,114,0,0,0,0,NA,NA,NA,0,9,2009,New,Partial,233170
1167,20,10475,8,5,2008,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,0,NA,Attchd,2008,RFn,3,776,TA,TA,Y,160,33,0,0,0,0,NA,NA,NA,0,2,2010,WD,Normal,245350
1168,60,10852,6,5,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,TA,Attchd,2000,Fin,2,472,TA,TA,Y,0,38,0,0,0,0,NA,NA,NA,0,2,2006,WD,Normal,173000
1169,70,13728,6,7,1935,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,7,Typ,2,TA,Basment,1935,Unf,2,540,TA,TA,Y,0,0,0,0,90,0,NA,NA,NA,0,7,2008,WD,Normal,235000
1170,60,35760,10,5,1995,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,10,Typ,1,TA,Attchd,1995,Fin,3,807,TA,TA,Y,361,76,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,625000
1171,80,9880,6,6,1977,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,1,Po,Attchd,1977,Fin,1,358,TA,TA,Y,203,0,0,0,0,576,Gd,GdPrv,NA,0,7,2008,WD,Normal,171000
1172,20,9120,6,6,1958,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,1,TA,Attchd,1958,RFn,2,433,TA,TA,Y,0,0,0,0,288,0,NA,NA,Shed,1400,11,2008,WD,Normal,163000
1173,160,4017,7,5,2006,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,5,Typ,0,NA,Detchd,2006,Fin,2,625,TA,TA,Y,0,54,0,0,0,0,NA,NA,NA,0,3,2008,WD,Normal,171900
1174,50,18030,5,6,1946,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Ex,12,Maj1,1,Gd,NA,NA,NA,0,0,NA,NA,Y,122,0,0,0,0,0,NA,MnPrv,NA,0,3,2007,WD,Normal,200500
1175,70,16560,6,8,1932,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,TA,9,Typ,1,Gd,Detchd,1932,Unf,2,360,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,239000
1176,50,10678,8,5,1992,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,9,Typ,1,TA,Attchd,1992,Fin,2,541,TA,TA,Y,0,33,0,0,0,0,NA,NA,NA,0,4,2007,WD,Normal,285000
1177,20,6951,5,5,1984,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,0,NA,Attchd,1984,Unf,1,264,TA,TA,Y,362,0,0,0,0,0,NA,MnPrv,NA,0,10,2008,WD,Normal,119500
1178,50,3950,6,8,1926,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,0,NA,Detchd,1926,Unf,1,210,TA,TA,N,0,0,116,0,0,0,NA,NA,NA,0,12,2009,WD,Normal,115000
1179,50,7681,5,6,1921,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,Gd,Detchd,1921,Unf,1,186,Fa,TA,Y,192,0,102,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,154900
1180,20,8335,5,5,1954,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Min2,1,Gd,NA,NA,NA,0,0,NA,NA,N,0,36,190,0,0,0,NA,NA,NA,0,4,2006,WD,Normal,93000
1181,60,11170,7,5,1990,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,TA,8,Typ,0,NA,Attchd,1990,Fin,2,693,TA,TA,Y,0,0,0,0,0,0,NA,GdPrv,NA,0,4,2006,WD,Normal,250000
1182,120,5587,8,5,2008,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,5,Typ,1,Gd,Attchd,2008,Fin,2,482,TA,TA,Y,162,53,0,153,0,0,NA,NA,NA,0,11,2008,New,Partial,392500
1183,60,15623,10,5,1996,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Ex,10,Typ,2,TA,Attchd,1996,Fin,3,813,TA,TA,Y,171,78,0,0,0,555,Ex,MnPrv,NA,0,7,2007,WD,Abnorml,745000
1184,30,10800,5,6,1920,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,1,Gd,Detchd,1970,Unf,2,720,TA,TA,Y,229,0,0,0,0,0,NA,NA,NA,0,6,2006,WD,Normal,120000
1185,20,35133,5,4,1963,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,2,TA,2Types,1963,RFn,3,995,TA,TA,Y,0,263,0,0,263,0,NA,NA,NA,0,5,2007,WD,Normal,186700
1186,50,9738,5,7,1924,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,TA,7,Typ,0,NA,Attchd,1965,Unf,1,392,TA,TA,Y,0,0,236,0,0,0,NA,NA,NA,0,3,2006,WD,Normal,104900
1187,190,10615,3,5,1900,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,TA,7,Typ,0,NA,CarPort,1920,Unf,2,420,Fa,Fa,Y,0,74,0,0,0,0,NA,NA,NA,0,8,2009,WD,Abnorml,95000
1188,20,12461,8,5,1994,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,5,Typ,1,Fa,Attchd,1994,RFn,3,757,TA,TA,Y,0,114,192,0,0,0,NA,GdPrv,NA,0,7,2006,WD,Normal,262000
1189,60,8935,7,5,2002,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,0,NA,Attchd,2002,RFn,2,493,TA,TA,Y,144,68,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,195000
1190,60,7500,7,5,1999,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,TA,Attchd,1999,Fin,2,442,TA,TA,Y,140,60,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal,189000
1191,190,32463,4,4,1961,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,TA,2Types,1975,Fin,4,1356,TA,TA,Y,439,0,0,0,0,0,NA,NA,NA,0,3,2007,WD,Normal,168000
1192,160,2645,8,5,1999,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,5,Typ,0,NA,Detchd,1999,Unf,2,492,TA,TA,Y,206,0,0,0,0,0,NA,NA,NA,0,11,2007,WD,Normal,174000
1193,50,9600,5,8,1925,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,0,NA,Detchd,1925,Unf,1,250,TA,Fa,P,0,0,84,0,0,0,NA,GdWo,NA,0,7,2007,WD,Normal,125000
1194,120,4500,6,5,1999,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,0,NA,Attchd,1999,Fin,2,402,TA,TA,Y,0,304,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,165000
1195,60,9364,6,7,1969,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,TA,7,Typ,0,NA,Attchd,1969,Fin,1,299,TA,TA,Y,379,36,0,0,0,0,NA,MnPrv,NA,0,3,2010,WD,Normal,158000
1196,60,8029,6,5,2005,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,8,Typ,0,NA,Attchd,2005,Fin,2,400,TA,TA,Y,100,24,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,176000
1197,60,14054,7,5,2006,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,9,Typ,1,Gd,BuiltIn,2006,Fin,3,660,TA,TA,Y,100,17,0,0,0,0,NA,NA,NA,0,11,2006,New,Partial,219210
1198,75,8850,7,6,1916,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,Gd,Detchd,1916,Unf,1,225,TA,TA,Y,0,0,330,0,0,0,NA,NA,NA,0,7,2006,ConLw,Normal,144000
1199,20,9100,7,5,2001,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,0,NA,Attchd,2001,RFn,2,573,TA,TA,Y,356,0,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,178000
1200,20,11235,4,5,1963,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,1,Po,Attchd,1974,Unf,2,459,TA,TA,Y,0,82,0,0,0,0,NA,NA,NA,0,10,2006,WD,Normal,148000
1201,20,9353,4,5,1970,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,0,NA,Attchd,1972,Unf,1,280,TA,TA,Y,0,0,0,0,0,0,NA,NA,Shed,0,7,2006,Oth,Abnorml,116050
1202,60,10400,7,5,1998,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,0,NA,Attchd,1998,RFn,2,546,TA,TA,Y,198,36,0,0,0,0,NA,NA,NA,0,3,2009,WD,Normal,197900
1203,50,6000,5,8,1925,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,1,Fa,Detchd,1960,Unf,1,216,TA,TA,N,0,0,208,0,0,0,NA,NA,NA,0,5,2009,WD,Normal,117000
1204,20,9750,7,5,2000,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,1,TA,Attchd,2000,Unf,2,451,TA,TA,Y,74,234,0,0,0,0,NA,NA,NA,0,10,2009,WD,Normal,213000
1205,20,10140,5,6,1975,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Attchd,1975,RFn,2,495,TA,TA,Y,0,88,0,0,0,0,NA,MnPrv,NA,0,7,2006,WD,Normal,153500
1206,20,14684,7,7,1990,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,TA,Attchd,1990,RFn,3,701,TA,TA,Y,84,70,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,271900
1207,20,8900,4,4,1966,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,0,NA,Detchd,1966,Unf,1,384,TA,TA,Y,0,42,0,0,0,0,NA,MnPrv,NA,0,11,2006,WD,Normal,107000
1208,20,9135,6,5,2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,0,NA,Attchd,2003,RFn,2,544,TA,TA,Y,192,23,0,0,0,0,NA,NA,NA,0,5,2006,WD,Normal,200000
1209,20,7763,5,7,1962,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Detchd,1980,Unf,2,506,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,10,2008,WD,Normal,140000
1210,20,10182,8,5,2006,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,8,Typ,1,Gd,Attchd,2006,RFn,2,500,TA,TA,Y,322,50,0,0,0,0,NA,NA,NA,0,5,2006,New,Partial,290000
1211,60,11218,6,5,1992,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,8,Typ,1,TA,Attchd,1992,RFn,2,462,TA,TA,Y,635,104,0,0,0,0,NA,GdPrv,Shed,400,5,2010,WD,Normal,189000
1212,50,12134,8,7,1988,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,TA,8,Typ,0,NA,Basment,1988,RFn,2,492,TA,TA,Y,325,12,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal,164000
1213,30,9340,4,6,1941,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,4,Typ,0,NA,Attchd,1941,Unf,1,234,TA,TA,N,0,113,0,0,0,0,NA,NA,NA,0,8,2009,WD,Normal,113000
1214,80,10246,4,9,1965,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,TA,3,Typ,0,NA,Attchd,1965,Unf,1,364,TA,TA,Y,88,0,0,0,0,0,NA,NA,NA,0,5,2006,WD,Normal,145000
1215,85,10205,5,5,1962,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Attchd,1962,Unf,1,300,TA,TA,Y,150,72,0,0,0,0,NA,NA,NA,0,5,2006,WD,Normal,134500
1216,20,7094,5,5,1966,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,0,NA,Detchd,1966,RFn,1,384,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,5,2007,WD,Normal,125000
1217,90,8930,6,5,1978,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,TA,8,Typ,0,NA,Attchd,1978,Unf,2,539,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,112000
1218,20,8640,8,5,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,0,NA,Attchd,2009,RFn,2,552,TA,TA,Y,135,112,0,0,0,0,NA,NA,NA,0,9,2009,New,Partial,229456
1219,50,6240,4,5,1947,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,3,Typ,0,NA,NA,NA,NA,0,0,NA,NA,N,0,0,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,80500
1220,160,1680,6,5,1971,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,0,NA,NA,NA,NA,0,0,NA,NA,N,201,0,0,0,0,0,NA,NA,NA,0,4,2006,WD,Abnorml,91500
1221,20,7800,5,5,1964,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,0,NA,Attchd,1964,Unf,1,288,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,11,2006,WD,Abnorml,115000
1222,20,8250,5,5,1968,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,1,TA,Attchd,1968,Unf,1,322,TA,TA,Y,0,63,0,0,0,0,NA,NA,NA,0,8,2008,WD,Normal,134000
1223,50,10496,6,6,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,Gd,Attchd,1949,Unf,1,315,TA,TA,Y,0,0,0,0,0,0,NA,GdWo,NA,0,1,2007,WD,Normal,143000
1224,20,10680,5,3,1951,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,TA,7,Mod,0,NA,Detchd,1951,Unf,2,528,TA,TA,Y,0,30,0,0,0,0,NA,MnPrv,NA,0,10,2006,WD,Normal,137900
1225,60,15384,7,5,2004,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,8,Typ,1,Gd,Attchd,2004,Fin,2,388,TA,TA,Y,100,75,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,184000
1226,80,10482,6,8,1958,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Attchd,1958,RFn,1,264,TA,TA,Y,224,0,0,0,0,0,NA,MnWw,NA,0,6,2007,WD,Normal,145000
1227,60,14598,6,5,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,9,Typ,1,Gd,BuiltIn,2007,Fin,3,668,TA,TA,Y,100,18,0,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,214000
1228,20,8872,5,8,1965,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,5,Typ,0,NA,Detchd,1992,Unf,2,576,TA,TA,Y,0,240,0,0,0,0,NA,NA,NA,0,12,2008,WD,Normal,147000
1229,120,8769,9,5,2008,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Ex,7,Typ,1,Gd,Attchd,2008,Fin,3,1052,TA,TA,Y,0,72,0,0,224,0,NA,NA,NA,0,10,2008,New,Partial,367294
1230,80,7910,5,5,1960,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,TA,7,Maj1,0,NA,Basment,1960,Unf,1,404,TA,TA,Y,0,0,0,0,0,0,NA,GdWo,NA,0,8,2008,WD,Normal,127000
